PARK,PARK_NO,LOCATION,ZIP,ACRES,WARD,PARK_CLASS,WHEELCHR_A,ALFRED_CAL,ARCHERY_RA,ARTIFICIAL,BAND_SHELL,BASEBALL_B,BASKETBALL,BASKETBA_1,BEACH,BOAT_LAUNC,BOAT_LAU_1,BOAT_SLIPS,BOCCE_COUR,BOWLING_GR,CASTING_PI,FOOTBALL_S,COMMUNITY_,CONSERVATO,CULTURAL_C,DOG_FRIEND,FITNESS_CE,FITNESS_CO,GALLERY,GARDEN,GOLF_COURS,GOLF_DRIVI,GOLF_PUTTI,GYMNASIUM,GYMNASTIC_,HANDBALL_R,HORSESHOE_,ICESKATING,POOL_INDOO,BASEBALL_J,MOUNTAIN_B,NATURE_CEN,POOL_OUTDO,ZOO,PLAYGROUND,PLAYGROU_1,ROWING_CLU,VOLLEYBALL,SENIOR_CEN,SHUFFLEBOA,SKATE_PARK,SLED_HILL,SPORT_ROLL,SPRAY_FEAT,BASEBALL_S,TENNIS_COU,TRACK,VOLLEYBA_1,WATER_PLAY,WATER_SLID,BOXING_CEN,WETLAND_AR,LAGOON,CRICKET_FI,CLIMBING_W,GAME_TABLE,SHAPE_AREA,SHAPE_LEN,CAROUSEL,CROQUET,HANDBALL_I,HARBOR,MODELTRAIN,MODELYACHT,NATURE_BIR,MINIGOLF
TILTON (GEORGE),1064,305 N KOSTNER,60624,1.14,28,NEIGHBORHOOD PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42733.898744,829.431235734,0,0,0,0,0,0,0,0
BRAINERD,177,1246 W 92ND ST,60620,9.26,21,COMMUNITY PARK,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,357991.194763,2393.29617951,0,0,0,0,0,0,0,0
ELSTON (DANIEL),1097,3461 N TROY ST,60618,0.52,33,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17678.3523708,523.238014659,0,0,0,0,0,0,0,0
WENDT (KENNETH),1145,667 W ROSCOE ST,60657,0.17,44,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6595.90776898,364.574977552,0,0,0,0,0,0,0,0
DIXON (LORRAINE),1210,8931 S DAUPHIN AVE,60619,6.72,8,LINEAR PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255649.300263,5729.39313661,0,0,0,0,0,0,0,0
CHOPIN (FREDERIC),146,3420 N LONG AVE,60641,9.28,30,COMMUNITY PARK,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,360685.116619,2402.33178407,0,0,0,0,0,0,0,0
PARK-VIEW,1056,3823 W SCHOOL ST,60618,0.79,30,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27633.5971608,689.652009983,0,0,0,0,0,0,0,0
ALGONQUIN,1161,2941 N WASHTENAW AVE,60618,0.16,33,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6158.29382887,348.596261462,0,0,0,0,0,0,0,0
MAPLEWOOD,1045,1640 N MAPLEWOOD AVE,60647,1.32,1,NEIGHBORHOOD PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48214.3014863,1075.64187259,0,0,0,0,0,0,0,0
AUGUSTA (CARPENTER),1021,4431 W AUGUSTA BLVD,60651,1.05,37,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36809.7671341,843.230337812,0,0,0,0,0,0,0,0
